Company Name ,Profile Heading,About Company ,Email,Contact,Toll free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Real yoga,Real Yoga,,,,,"Mousumi Apartment, 15b, Ground Floor, Ballygunge Circular Road, N A",700019,,,India,West Bengal,Kolkata
Indian Yoga Physio Center,Indian Yoga Physio Center,,,,,"3-1, Kolkata",700003,,,India,West Bengal,Kolkata
Yoga Sea,Yoga Sea,,,,,"15, Bondel Road, Ballygunge Park, Ballygunge",700019,,,India,West Bengal,Kolkata
Yoga Plus,Yoga Plus,"Founded in 2009, Yoga plus started its journey with its Bangur centre. Over the years it has gained a wide acceptance among the Yoga lovers.",,,,29/1 Block-c Bangur Avenue Near Super Market,700055,,,India,West Bengal,Kolkata
Ghosh's Yoga College,Ghosh's Yoga College,"Ghosh Yoga College - Asanas Training, Deep Breathing With Chest Expansion Yoga Classes & Jasthi Asana With Lifting Of Buttocks Yoga Classes ",,,,"4a/a2, Main Road, Garpar, Machuabazar",700009,,,India,West Bengal,Kolkata
Real Yoga Garcha,Real Yoga Garcha,,,,,Ballygunge,700019,,,India,West Bengal,Kolkata
Isha Yogashala,Isha Yogashala,Best Yogashala in Kolkata. Isha Yogashala is a unique outcome of Sadhguru’s vision to bring the subtle and powerful science of classical Hatha Yoga,,,,"1/f, Parijat Building",700017,,,India,West Bengal,Kolkata
Sahaja Yoga Meditation Center,Sahaja Yoga Meditation Center,,,,,"12, Geeta Bitan, Priyo Nath Mallick Road, Opposite Purna Cinema Hall",700025,,,India,West Bengal,Kolkata
Ideal Yoga Kolkata,Ideal Yoga Kolkata,,,,,9/1 Sarat Bose Road,700020,,,India,West Bengal,Kolkata
Sona's Yoga Center,Sona's Yoga Center,,,,,"Tangra, Opp East Kolkata Sports Association",700015,,,India,West Bengal,Kolkata
