Company Name ,Profile Heading,About Company,Email,Contact,Toll Free Number,Main Address,Address Pin Code,Address URL,Company registration number,Country,State,City
Rabbi herbal,Rabbi Herbal,,,,,"214/1 Hazaribag , Dhaka",999999,http://rabbiherbalbd.business.site/,,Bangladesh,Dhaka,Dhaka
Pink Flash BD,Pink Flash BD,,,,,"Flat No – D/11, 136 Bicon Nurjahan Tower, Newcircular road, Dhaka",999999,https://pinkflashbd.com/,,Bangladesh,Dhaka,Dhaka
NS Glamour Mart,NS Glamour Mart,,,,,"1st Floor, Lalbag Plaza, Rangpur, 5400, Rangpur",999999,https://nsglamourmart.com,,Bangladesh,Dhaka,Dhaka
Al Haramain Perfumes,Al Haramain Perfumes,,,,,"House No.12,Road No.19,Sector-07,Uttara, Dhaka, Dhaka",999999,http://www.alharamainperfumes.com,,Bangladesh,Dhaka,Dhaka
All well buy,All well buy,,,,,"Eastern Housing Limited, Mirpur 12, Dhaka",999999,https://allwellbuy.com/,,Bangladesh,Dhaka,Dhaka
Ousodh,Ousodh,,,,,"Gp Ja-171, Wireless Gate, Mohakhali, Dhaka-1213, Dhaka",999999,https://www.ousodh.com/,,Bangladesh,Dhaka,Dhaka
Kohinoor,Kohinoor,,,,,"36, Shahid Tajuddin Ahmed Sarani, Tejgaon, Dhaka",999999,http://www.kohinoor-bd.com,,Bangladesh,Dhaka,Dhaka
Square Pharma,Square Pharma,,,,,"SQUARE Centre 48, Mohakhali C/A
Dhaka 1212, Bangladesh
",999999,http://www.squarepharma.com.bd,,Bangladesh,Dhaka,Dhaka
Care bangla,Care bangla,,,,,"Commercial Plot-30, Main Road-01, 2nd Floor, Section-10, Mirpur, Dhaka-1216, Dhaka",999999,http://www.carebanglamarketingcompany.com,,Bangladesh,Dhaka,Dhaka
Glamifield,Glamifield,,,,,"Rafiq Tower, House#CB-211/8 (5th Floor), Ahsanullah Master Road,  Dhaka Cantonment, Dhaka-1206.",999999,http://www.glamifield.com/,,Bangladesh,Dhaka,Dhaka
happy L & B cosmetics,happy L & B cosmetics,,,,,,999999,http://www.happylnb.com,,Bangladesh,Dhaka,Dhaka
Jakkash,Jakkash,,,,,"Wazi Complex-31/C, Suite-6/B Topkhana Road, Segun Bagicha, Dhaka-1000., Dhaka, Bangladesh",999999,https://www.jakkash.com,,Bangladesh,Dhaka,Dhaka
The Mart Bangladesh,The Mart Bangladesh,,,,,"1113,1st floor, Shimanto Shombhar Shopping Complex, Dhanmondi-2, Dhaka",999999,https://themartbangladesh.com.bd/,,Bangladesh,Dhaka,Dhaka
mygirlco,mygirlco,,,,,"Dhaka, Dhaka, Bangladesh",999999,https://mygirlco.com/,,Bangladesh,Dhaka,Dhaka
Fuji Cosmetics,Fuji Cosmetics,,,,,"10/1, Dilgu Babu Lane, Bangshi Bazar, Mitford Road, Dhaka, Bangladesh",999999,http://www.fujigroup.com,,Bangladesh,Dhaka,Dhaka
,,,,,,,,,,,,
